Dia,NORTE,CENTRO,SUL
2023-01-01 00:00:00,0.0,0.0,0.0
2023-01-02 00:00:00,0.0,0.0,0.25
2023-01-03 00:00:00,0.0,0.0,0.0
2023-01-04 00:00:00,1.875,1.125,1.5
2023-01-05 00:00:00,,,
2023-01-06 00:00:00,0.0,0.0,0.0
2023-01-07 00:00:00,0.125,1.0,0.0
2023-01-08 00:00:00,1.25,1.0,0.4375
2023-01-09 00:00:00,0.0,0.0,0.0625
2023-01-10 00:00:00,0.0,0.0,0.0
2023-01-11 00:00:00,2.4375,9.875,10.1875
2023-01-12 00:00:00,0.0,0.0,0.25
2023-01-13 00:00:00,0.0,0.0,0.0
2023-01-14 00:00:00,7.5,2.125,6.125
2023-01-15 00:00:00,29.625,18.125,12.25
2023-01-16 00:00:00,4.875,3.125,7.625
2023-01-17 00:00:00,1.125,0.0,0.25
2023-01-18 00:00:00,0.875,0.0,1.625
2023-01-19 00:00:00,0.875,2.25,2.5
2023-01-20 00:00:00,4.875,5.625,9.5625
2023-01-21 00:00:00,0.5,0.0,0.0
2023-01-22 00:00:00,0.375,0.0,0.5
2023-01-23 00:00:00,0.0,0.0,0.0
2023-01-24 00:00:00,0.25,0.0,0.125
2023-01-25 00:00:00,0.0,0.0,0.0
2023-01-26 00:00:00,0.0,0.0,0.0
2023-01-27 00:00:00,0.0,0.0,0.0
2023-01-28 00:00:00,0.0,0.0,0.0
2023-01-29 00:00:00,0.0,0.0,0.0
2023-01-30 00:00:00,1.5,3.875,19.0
2023-01-31 00:00:00,0.0,0.0,0.625
2023-02-01 00:00:00,0.0,0.0,0.25
2023-02-02 00:00:00,0.0,0.0,0.0
2023-02-03 00:00:00,13.75,12.0,23.5
2023-02-04 00:00:00,39.625,50.875,49.5
2023-02-05 00:00:00,0.0,0.0,0.625
2023-02-06 00:00:00,0.0,0.0,0.0
2023-02-07 00:00:00,0.0,0.0,0.0
2023-02-08 00:00:00,1.125,0.0,7.875
2023-02-09 00:00:00,0.25,0.125,14.125
2023-02-10 00:00:00,19.625,6.625,10.75
2023-02-11 00:00:00,1.4375,3.1875,0.5625
2023-02-12 00:00:00,1.625,0.125,0.0
2023-02-13 00:00:00,0.0,0.0,0.0
2023-02-14 00:00:00,0.0,0.0,0.25
2023-02-15 00:00:00,5.0625,2.375,11.6875
2023-02-16 00:00:00,7.75,9.625,11.125
2023-02-17 00:00:00,3.0,3.0,2.125
2023-02-18 00:00:00,2.75,0.875,4.875
2023-02-19 00:00:00,0.125,0.0,0.0
2023-02-20 00:00:00,19.9375,13.8125,6.0625
2023-02-21 00:00:00,12.375,17.625,29.5
2023-02-22 00:00:00,1.625,0.0625,1.5625
2023-02-23 00:00:00,0.125,0.0,0.0
2023-02-24 00:00:00,14.375,8.125,5.75
2023-02-25 00:00:00,0.0,0.0,0.0
2023-02-26 00:00:00,0.0,0.0,0.0
2023-02-27 00:00:00,2.875,3.0,2.25
2023-02-28 00:00:00,0.0,0.0,0.0
2023-03-01 00:00:00,0.0,0.0,0.0
2023-03-02 00:00:00,0.0,0.0,0.0
2023-03-03 00:00:00,0.0,0.0,0.0
2023-03-04 00:00:00,0.3125,0.0625,8.75
2023-03-05 00:00:00,0.6875,2.9375,5.0
2023-03-06 00:00:00,5.625,7.0,15.625
2023-03-07 00:00:00,4.5,8.875,10.5
2023-03-08 00:00:00,8.25,23.625,8.25
2023-03-09 00:00:00,2.25,3.125,3.0
2023-03-10 00:00:00,3.5,2.25,2.0
2023-03-11 00:00:00,0.9375,1.0,1.0
2023-03-12 00:00:00,2.5,4.875,5.375
2023-03-13 00:00:00,6.5,5.5625,17.0625
2023-03-14 00:00:00,6.3125,18.6875,11.8125
2023-03-15 00:00:00,15.9375,13.0625,11.25
2023-03-16 00:00:00,3.625,1.625,1.375
2023-03-17 00:00:00,2.8125,5.0,3.9375
2023-03-18 00:00:00,0.0,0.0,0.0
2023-03-19 00:00:00,0.0,0.0,0.0
2023-03-20 00:00:00,0.0,0.0,0.0
2023-03-21 00:00:00,0.0,0.0,0.0
2023-03-22 00:00:00,0.0,0.0,0.4375
2023-03-23 00:00:00,26.875,46.6875,66.0
2023-03-24 00:00:00,20.0,4.25,2.125
2023-03-25 00:00:00,0.0,0.0,0.125
2023-03-26 00:00:00,0.0,0.0,0.375
2023-03-27 00:00:00,0.0,0.0,0.0
2023-03-28 00:00:00,0.0,0.0,0.0
2023-03-29 00:00:00,0.75,0.0,0.0
2023-03-30 00:00:00,4.125,4.125,3.25
2023-03-31 00:00:00,0.0,0.0,0.0
2023-04-01 00:00:00,1.0,0.0,0.0
2023-04-02 00:00:00,0.0,0.0,0.0
2023-04-03 00:00:00,0.0,0.0,0.0
2023-04-04 00:00:00,0.0,0.0,0.0
2023-04-05 00:00:00,0.0,0.0,0.0
2023-04-06 00:00:00,0.0,0.0,0.125
2023-04-07 00:00:00,20.375,21.875,19.375
2023-04-08 00:00:00,15.75,14.875,9.875
2023-04-09 00:00:00,3.375,1.0625,1.75
2023-04-10 00:00:00,2.25,3.0,1.625
2023-04-11 00:00:00,0.0,0.0,0.0
2023-04-12 00:00:00,0.0,0.0,0.0
2023-04-13 00:00:00,0.0,0.0,0.0
2023-04-14 00:00:00,1.75,0.0,5.0
2023-04-15 00:00:00,10.6875,4.125,5.125
2023-04-16 00:00:00,0.125,0.0,0.0
2023-04-17 00:00:00,3.375,3.875,4.375
2023-04-18 00:00:00,6.875,20.625,20.75
2023-04-19 00:00:00,0.75,1.0,1.5
2023-04-20 00:00:00,0.0,0.0,0.125
2023-04-21 00:00:00,0.0,0.0,0.0
2023-04-22 00:00:00,0.0625,0.0,0.0
2023-04-23 00:00:00,0.0,0.0,0.0
2023-04-24 00:00:00,5.5,15.875,18.75
2023-04-25 00:00:00,0.25,0.0,0.0
2023-04-26 00:00:00,0.0,0.0,0.0
2023-04-27 00:00:00,0.0,0.0,1.4375
2023-04-28 00:00:00,0.0,0.0,0.0
2023-04-29 00:00:00,0.0,0.0,0.0
2023-04-30 00:00:00,0.0,0.0,0.0
2023-05-01 00:00:00,0.0,0.0,0.0
2023-05-02 00:00:00,0.0,0.0,0.0
2023-05-03 00:00:00,0.0,0.0,0.0
2023-05-04 00:00:00,11.25,32.625,15.5
2023-05-05 00:00:00,0.0,0.0,0.0
2023-05-06 00:00:00,0.0,0.0,0.0
2023-05-07 00:00:00,0.0,0.0,0.0
